                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.6743,                0.73913,                 1.2478,                0.00559,                   0.75,                0.00459,                 0.0029,                 2.0958,                 283.96,                 1.6982,               0.001307,               0.001307,               0.001307
                     37,                 1.8444,                0.86485,                 1.2981,                 0.0236,                      1,                0.02412,                0.01279,                 1.5128,                  191.7,                 1.6198,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.6711,                0.87195,                 1.2061,                0.55815,                   0.25,                0.24768,                 0.1231,                 2.5552,                 73.781,                 2.4944,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.6364,                 0.8498,                 1.3143,                 0.9014,                   0.75,                0.75158,                0.39737,                 1.9158,                 7.6253,                 1.7077,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8035,                0.76265,                 1.4068,                0.64358,                      1,                0.82833,                0.36401,                 2.0179,                 2.4721,                 1.8613,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.6361,                 0.7818,                  1.316,                0.79919,                0.99593,                  0.895,                0.38139,                 2.0342,                  1.259,                 1.8541,               0.001208,               0.001208,               0.001208
                     42,                 1.5709,                0.70496,                 1.2429,                0.78647,                      1,                  0.945,                0.45013,                 1.8568,                  1.012,                  1.815,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.6234,                0.79029,                 1.1811,                      1,                 0.9775,                  0.995,                0.48516,                 1.7647,                0.87548,                 1.8023,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.7432,                0.86864,                 1.4084,                0.97292,                      1,                  0.995,                0.44337,                 1.7648,                0.99283,                 1.7561,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8797,                0.83314,                 1.2499,                0.94712,                   0.75,                0.81643,                0.42405,                 1.6873,                 1.1992,                 1.7205,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.9207,                0.85541,                 1.3827,                0.50715,                   0.75,                0.56346,                0.27324,                 2.1698,                 2.2708,                 2.0884,               0.001109,               0.001109,               0.001109
